,nan,nan,platform.BAT.batteryCurrentDir,platform.BAT.batteryCurrent[0:2],platform.BAT.batteryVoltage[0:2],platform.EPS.switchVoltages[0:9],platform.EPS.switchCurrents[0:9],platform.EPS.actualSwitchStatesBitmap,platform.EPS.expectedSwitchStatesBitmap,platform.EPS.solarArrayCurrents[0:4],platform.EPS.solarArrayVoltages[0:2],platform.EPS.busVoltages[0:3],platform.EPS.busCurrents[0:3],platform.EPS.busCurrentDraws[0:1],platform.ADCS.busCurrents[0:2],platform.ADCS.busVoltages[0:2],platform.ADCS.sensorCurrent,platform.ADCS.mtqCurrent,platform.CMC.current3V3,platform.CMC.current5V,platform.CMC.voltage3V3,platform.CMC.voltage5V,obsw.platform.obc.TelemetryADCA.channelOutput[3],obsw.platform.obc.TelemetryADCA.channelOutput[0],obsw.platform.obc.TelemetryADCA.channelOutput[1],obsw.platform.obc.TelemetryADCA.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[0],obsw.platform.obc.TelemetryADCB.channelOutput[1],obsw.platform.obc.TelemetryADCB.channelOutput[2],obsw.platform.obc.TelemetryADCB.channelOutput[3],obsw.platform.obc.TelemetryADCC.channelOutput[1],obsw.platform.obc.TelemetryADCC.channelOutput[2],obsw.platform.obc.TelemetryADCC.channelOutput[5],obsw.platform.obc.TelemetryADCB.channelOutput[4],obsw.platform.obc.TelemetryADCC.channelOutput[6],obsw.platform.obc.TelemetryADCB.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[4],obsw.platform.obc.TelemetryADCB.channelOutput[6],obsw.platform.obc.TelemetryADCA.channelOutput[5],obsw.platform.obc.TelemetryADCC.channelOutput[3],cdh.telemetry.DataPool.paramValid
43,3939931,65378,1,31465483,812478356,3717317052145411778022220802,2478300296007180061715210241,420,420,5753109817358,424042274,977920685944,11859420162,11271,64879878212856,141143516718662,8278,395,17678,65501,1258,828,2165,2159,1127,3358,3347,481,3343,320,1639,3,2180,26,3376,4,2315,34,2438,2297,11111111111111111111
44,3939991,65379,1,31465483,811428757,3717317052145411778022220802,2478301477750599682362449922,420,420,4507603996677,362171610,977920685944,12932112386,11271,67486924475608,141006082352636,7710,794,17690,65501,1258,829,2164,2159,1130,3358,3348,478,3343,318,1638,3,2177,26,3376,5,2303,34,2437,2300,11111111111111111111
45,3940051,65380,1,31465483,811428756,6193197130716173427331048450,2478300297160105964369616898,420,420,4506495703054,360070939,978994427769,11858371586,12295,63127534964007,140585170511442,5792,346,17702,65501,1258,828,2164,2159,1132,3358,3348,477,3342,318,1638,3,2177,26,3376,5,2306,34,2437,2303,11111111111111111111
46,3940111,65381,1,31465483,812477333,2479377012860032601559933954,2478301476598805177174073346,420,420,4682619552782,428214005,978994427768,11859420162,11271,62633610251588,140726907774648,6774,225,17702,65501,1258,828,2165,2159,1129,3358,3348,479,3343,319,1637,3,2178,26,3376,5,2305,33,2438,2302,11111111111111111111
47,3940171,65382,1,31465483,812477333,2479377012860032601560982530,2478300296007183360251142146,420,420,5561983936526,355886837,977920685945,12932113410,11271,67199162125502,141182175422033,7594,572,17714,65501,1258,828,2165,2159,1128,3358,3348,480,3342,319,1637,3,2178,26,3376,4,2316,34,2437,2298,11111111111111111111
48,3940231,65383,1,31465482,811428757,2479378193451653318972284930,2478300297160104864857989122,420,420,4677220468750,428218138,978994427768,11859420162,11271,67963666500824,140963128682114,7467,643,17725,65501,1258,828,2165,2159,1135,3358,3348,479,3342,318,1637,3,2178,26,3376,5,2308,33,2437,2304,11111111111111111111
49,3940291,65384,1,31465482,812477332,3717317052145411776948478978,2478301477751724482757663746,420,420,5632850824205,378954542,978994427769,11859420162,11271,77309513174311,141169268368989,9125,191,17725,65501,1258,828,2165,2159,1131,3358,3348,481,3342,319,1636,3,2178,26,3376,15,2303,34,2437,2299,11111111111111111111
50,3940351,65385,1,31465482,811428757,6191988204896558798157390851,2478300297160102665834733570,420,420,5719823863822,410407714,978994427768,12933160962,11272,77812025527574,141173566023286,9222,829,17737,65501,1258,828,2165,2159,1135,3358,3348,478,3342,317,1635,3,2178,26,3377,5,2306,34,2437,2303,11111111111111111111
51,3940411,65386,1,31465482,811428757,3716108126325797148847514627,2478300297160103765346361346,420,420,5639293153284,369505444,981141911416,11860468738,11272,65206299593970,140761265940142,6311,336,17749,65501,1258,828,2165,2159,1139,3358,3348,478,3342,318,1635,3,2178,26,3377,5,2308,34,2437,2305,11111111111111111111
52,3940471,65387,1,31465480,812478352,2479378193451653320044979202,2478300297160103765346361346,420,420,5521181799438,327557909,978994428792,12933164034,11272,72542095609078,141229419341357,8192,175,17749,65501,1258,828,2165,2160,1137,3358,3348,479,3342,319,1634,3,2178,26,3377,5,2306,34,2439,2304,11111111111111111111
53,3940531,65388,1,31465481,811428757,2479378193451653320046027779,2478300297160102665834733570,420,420,5767068419086,429262075,977920685944,16154387458,11271,63535544536414,140606639711946,7870,496,17761,65501,1258,828,2165,2160,1139,3358,3348,481,3343,321,1633,3,2178,26,3377,5,2308,34,2438,2304,11111111111111111111
54,3940591,65389,1,31465481,811428757,2479378193451653318972285954,2478300297160104864857989122,420,420,5556615246862,351685383,973624669048,11859420162,11271,69359527529843,141143515735639,8348,539,17773,65501,1258,828,2164,2159,1135,3358,3348,478,3342,318,1633,3,2179,26,3377,5,2304,34,2437,2301,11111111111111111111
55,3940651,65390,1,31465481,812477333,6193198311307794144743400451,2478301476598802978149769217,420,420,5761748960266,426122491,978994427769,11858370562,11271,70085381655776,140881516701336,8016,215,17785,65501,1258,828,2165,2160,1133,3358,3348,478,3342,318,1632,3,2179,26,3378,5,2317,34,2437,2299,11111111111111111111
56,3940711,65391,1,31465481,812478357,2479377012860032602634724355,2477091370187565432542601218,420,420,5563057688845,349579353,978994427768,11859419138,11271,65275018349816,141109138040514,9029,270,17785,65501,1258,828,2165,2159,1133,3358,3348,480,3343,318,1631,3,2179,26,3378,5,2314,34,2439,2296,11111111111111111111
57,3940771,65392,1,31465481,811428757,3717318232737033594945152002,2478300297160102665834733570,420,420,4610648657926,405157113,978994427769,11860468738,12296,66735300349177,141109153113798,9194,266,17797,65501,1258,828,2165,2160,1138,3358,3348,481,3342,320,1631,3,2179,26,3377,5,2308,34,2437,2305,11111111111111111111
58,3940831,65393,1,31465481,811429781,3717318232737033593870361603,2478301476597677078243975170,420,420,4611722290480,395712611,978993379193,12933161986,11271,73791932730523,140774151956089,8817,909,17797,65501,1258,828,2165,2160,1135,3358,3348,479,3342,318,1631,3,2179,26,3378,5,2318,34,2438,2300,11111111111111111111
59,3940891,65394,1,31465481,812477333,3717318232737033594945152003,2478300296007183360250093570,420,420,5501854454798,287711025,977920685944,11858371586,11271,69986599374197,140464900875987,7718,430,17809,65501,1258,828,2165,2160,1134,3358,3348,478,3342,318,1630,3,2179,26,3378,15,2317,34,2438,2298,11111111111111111111
60,3940951,65395,1,31465480,812477333,6193198311307794143669658627,2478300297160105964369616898,420,420,5758478497864,429266983,977920685944,12933160962,11271,67431091997878,141173563926089,8653,237,17821,65501,1258,828,2165,2160,1135,3358,3348,478,3342,318,1630,3,2179,26,3378,5,2316,34,2439,2300,11111111111111111111
