Unnamed: 0,nan,nan.1,platform.obc.GPS.LastGpsTimeLog,platform.obc.GPS.UpdateGpsTimeLog[0:1],platform.obc.OBC.mramCorrectableErrorCount,platform.obc.OBC.mramNonCorrectableErrorCount,platform.obc.OBC.flashCorrectableErrorCount,platform.obc.OBC.flashNonCorrectableErrorCount,platform.obc.MagnetometerI2C.nackAddrCount,platform.obc.GPS.UpdateGpsTimeLog_1,platform.obc.GPS.UpdateGpsTimeLog_0,platform.obc.MagnetometerI2C.hwStateErrorCount,platform.obc.MagnetometerI2C.isrErrorCount,platform.obc.I2CBusA.nackAddrCount,platform.obc.I2CBusA.hwStateErrorCount,platform.obc.I2CBusA.isrErrorCount,platform.obc.I2CBusB.nackAddrCount,platform.obc.I2CBusB.hwStateErrorCount,platform.obc.I2CBusB.isrErrorCount,platform.obc.I2CBusC.nackAddrCount,platform.obc.I2CBusC.hwStateErrorCount,platform.obc.I2CBusC.isrErrorCount,platform.obc.GPSSerial.txFailures,platform.obc.GPSSerial.rxFailures,platform.obc.GPSSerial.framingErrors,platform.obc.GPSSerial.parityErrors,platform.obc.GPSSerial.overrunErrors,platform.BAT.status,platform.BAT.lastError,platform.BAT.autoResetCount,platform.BAT.brownOutResetCount,platform.EPS.status,platform.EPS.lastError,platform.EPS.softResetCount,platform.ADCS.fss1ErrorCodes,platform.ADCS.fss1ErrorCount,platform.ADCS.busCurrents[0],platform.ADCS.boardTemperature,platform.ADCS.detumbleCounter,platform.CMC.txPacketCount,platform.CMC.txOverrunErrorCount,platform.CMC.rxDtmfAndCounter,platform.CMC.rxPacketCount,platform.CMC.rxDroppedErrorCount,platform.CMC.rxCrcErrorCount,platform.CMC.rxOverrunErrorCount,platform.CMC.rxProtocolErrorCount,platform.CMC.temperatureSmps,platform.CMC.voltage3V3,platform.CMC.current3V3,payload.GMOD.DP_GMODMSPTemp,payload.GMOD.DP_ErrMessages,payload.GMOD.DP_FlashRolloverCounter,payload.GMOD.DP_CPLDTimeoutCounter,payload.GMOD.DP_SegFaultCount,payload.GMOD.DP_SegFaultType,payload.GMOD.DP_CorrBitErrorCount,payload.GMOD.DP_NonCorrBitErrorCount,payload.GMOD.DP_ForbiddenReadCount,core.EventDispatcher.overflowCount,EMOD.Serial.txFailures,EMOD.Serial.rxFailures,EMOD.Serial.framingErrors,EMOD.Serial.parityErrors,EMOD.Serial.overrunErrors,GMOD.Serial.txFailures,GMOD.Serial.rxFailures,GMOD.Serial.framingErrors,GMOD.Serial.parityErrors,GMOD.Serial.overrunErrors,comms.HMAC.authenticatedFrameCount,comms.HMAC.failedAuthenticationCount,comms.HMAC.droppedFrameCount,comms.HMAC.seqResyncCount,mission.ModeManager.EntryError,mission.ModeManager.ExitError,cdh.telemetry.DataPool.paramValid
20,8362623,13937,0000101010010111001101001110001001100000010101001001111010000000,0000101010010111001101001110001001100000010101001001111010000000,0,0,0,0,0,540808836,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,11,57930,14652,38830,200,46920,0,159,7617,0,23,0,0,19,828,17654,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
21,8363223,13938,0000101010010111001101001110001001101111100101101101111010000000,0000101010010111001101001110001001101111100101101101111010000000,0,0,0,0,0,540808836,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17477,39225,200,46930,0,159,7617,0,23,0,0,22,828,17749,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
22,8363823,13939,0000101010010111001101001110001001101111100101101101111010000000,0000101010010111001101001110001001101111100101101101111010000000,0,0,0,0,0,540808836,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,0,57930,15972,39588,200,46940,0,159,7617,0,23,0,0,24,829,17833,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
23,8364423,13940,0000101010010111001101110001111100101100000110011111000110000000,0000101010010111001101110001111100101100000110011111000110000000,0,0,0,0,0,540808846,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15149,39698,200,46950,0,159,7617,0,23,0,0,24,829,17845,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
24,8365023,13941,0000101010010111001101110001111100101100000110011111000110000000,0000101010010111001101110001111100101100000110011111000110000000,0,0,0,0,0,540808846,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,15552,39378,200,46960,0,159,7617,0,23,0,0,22,829,17797,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
25,8365623,13942,0000101010010111001101110001111100111011010111000011000110000000,0000101010010111001101110001111100111011010111000011000110000000,0,0,0,0,0,540808846,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,18080,38836,200,46970,0,159,7617,0,23,0,0,19,829,17702,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
26,8366223,13943,0000101010010111001101110001111100111011010111000011000110000000,0000101010010111001101110001111100111011010111000011000110000000,0,0,0,0,0,540808846,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17056,38281,200,46980,0,159,7617,0,23,0,0,16,828,17618,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
27,8366823,13944,0000101010010111001101110001111100111011010111000011000110000000,0000101010010111001101110001111100111011010111000011000110000000,0,0,0,0,0,540808846,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,17009,38147,200,46990,0,159,7617,0,23,0,0,15,828,17559,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
28,8367423,13945,0000101010010111001110011001010000000110110100101010011011000000,0000101010010111001110011001010000000110110100101010011011000000,0,0,0,0,0,540809663,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,10,57930,16047,38322,200,47000,0,159,7617,0,23,0,0,16,828,17571,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
29,8368023,13946,0000101010010111001110011001010000000110110100101010011011000000,0000101010010111001110011001010000000110110100101010011011000000,0,0,0,0,0,540809663,2159807923,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,128,0,0,2,0,0,4,0,57930,14637,38630,200,47010,0,180,7617,0,23,0,0,18,828,17380,65535,11111111111111111111111111111111,255,255,65535,7,65535,65535,255,0,0,0,0,0,0,0,0,0,0,0,7109,252,0,218,0,0,11111111111111111111111111111111
