nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
444689,1482,141195060061780,75965196340320,32788,5688,2645739569772,000000110000001100000000,39321,39307,0,0,0,0,32740,32740,20,11,620,606,616,3168,1675,17687,9812,35174,32874,57116889587968669784519761100537856,16762,0,0,0,0,1111111111
444989,1483,141152108619431,78464866585839,32792,9014,2619969241702,000000110000001100000000,39046,39030,0,0,0,0,32740,32740,20,11,614,598,610,3311,1664,18269,9895,35147,32864,57116889587968669784519761100537856,17659,0,0,0,0,1111111111
445289,1484,141143518029523,74199962357203,32790,8710,2611379176034,000000110000001100000000,38953,38874,0,0,0,0,32740,32740,20,11,610,596,608,3539,1638,17276,9939,35137,32862,57116889587968669784519761100537856,18553,0,0,0,0,1111111111
445589,1485,141229419996757,75247930183092,32792,8537,2602789241442,000000110000001100000000,38957,38852,0,0,0,0,32740,32740,20,11,610,596,606,3508,1574,17520,9813,35177,32882,57116889587968669784519761100537856,19450,0,0,0,0,1111111111
445889,1486,140623809357513,67899236945192,32786,5484,2611379176036,000000110000001100000000,39021,38925,0,0,0,0,32740,32740,20,11,612,596,608,3368,1510,15809,9929,34868,32741,57116889587968669784519761100537856,20344,0,0,0,0,1111111111
446189,1487,141139226207948,69307995852178,32791,8509,2619969372774,000000110000001100000000,39160,39054,0,0,0,0,32740,32740,20,11,614,600,610,3474,1657,16137,9932,35185,32861,57116889587968669784519761100537856,21241,0,0,0,0,1111111111
446489,1488,140572283119217,66589284896004,32791,8240,2637149504106,000000110000001100000000,39340,39217,0,0,0,0,32740,32740,20,11,618,604,614,3332,1708,15504,9841,35072,32729,57116889587968669784519761100537856,22135,0,0,0,0,1111111111
446789,1489,140997491304098,80264458800381,32792,8925,2654329635438,000000110000001100000000,39551,39416,0,0,0,0,32740,32740,20,11,622,608,618,3325,1678,18688,9890,35170,32828,57116889587968669784519761100537856,23032,0,0,0,0,1111111111
447089,1490,141006059415200,65094633589980,32790,9271,2680099701362,000000110000001100000000,39763,39628,0,0,0,0,32740,32740,20,11,626,612,624,3292,1667,15156,9888,34837,32830,57116889587968669784519761100537856,23929,0,0,0,0,1111111111
447389,1491,141173586077264,73448337771770,32789,8261,2697279832696,000000110000001100000000,39981,39831,0,0,0,0,32740,32740,20,11,632,616,628,3322,1557,17101,9808,35187,32869,57116889587968669784519761100537856,24823,0,0,0,0,1111111111
447689,1492,140851460450015,73985219431734,32789,5711,2714459964028,000000110000001100000000,40213,40037,0,0,0,0,32740,32740,20,11,636,620,632,3382,1721,17226,9951,35140,32794,57116889587968669784519761100537856,25720,0,0,0,0,1111111111
447989,1493,140817084327617,72662363999332,32792,9021,2731640226432,000000110000001100000000,40432,40246,0,0,0,0,32740,32740,20,11,640,626,636,3172,1637,16918,9921,34890,32786,57116889587968669784519761100537856,26614,0,0,0,0,1111111111
448289,1494,140855753385678,70785470762221,32794,7647,2748820226692,000000110000001100000000,40601,40409,0,0,0,0,32740,32740,20,11,644,628,640,3309,1751,16481,9934,35109,32795,57116889587968669784519761100537856,27511,0,0,0,0,1111111111
448589,1495,140666775086720,63746011040939,32789,8742,2757410423430,000000110000001100000000,40712,40541,0,0,0,0,32740,32740,20,11,646,632,642,3243,1624,14842,9856,35113,32751,57116889587968669784519761100537856,28405,0,0,0,0,1111111111
448889,1496,140164248708705,66937175215190,32792,8856,2757410423430,000000110000001100000000,40633,40535,0,0,0,0,32740,32740,20,11,646,632,642,3158,1677,15585,9825,34881,32634,57116889587968669784519761100537856,29302,0,0,0,0,1111111111
449189,1497,141160700389018,77945175346233,32792,8858,2748820226692,000000110000001100000000,40444,40386,0,0,0,0,32740,32740,20,11,644,628,640,3129,1661,18148,9882,35175,32866,57116889587968669784519761100537856,30196,0,0,0,0,1111111111
449489,1498,141070503454244,75935123246221,32790,6452,2723050160766,000000110000001100000000,40192,40176,0,0,0,0,32740,32740,20,11,638,624,634,3213,1548,17680,9764,35135,32845,57116889587968669784519761100537856,31093,0,0,0,0,1111111111
449789,1499,140640987326089,65833368816779,32792,5905,2697279963768,000000110000001100000000,39940,39903,0,0,0,0,32740,32740,20,11,632,618,628,3211,1680,15328,9865,34839,32745,57116889587968669784519761100537856,31987,0,0,0,0,1111111111
450089,1500,140885802428017,75986671176801,32790,5855,2680099701362,000000110000001100000000,39633,39617,0,0,0,0,32740,32740,20,11,626,612,624,3169,1675,17692,9841,34869,32802,57116889587968669784519761100537856,32884,0,0,0,0,1111111111
450389,1501,140825673344714,75574348090793,32790,7700,2645739438700,000000110000001100000000,39326,39326,0,0,0,0,32740,32740,20,11,620,604,616,3497,1580,17596,9930,34876,32788,57116889587968669784519761100537856,33778,0,0,0,0,1111111111
450689,1502,141066191775334,77567218289899,32791,9112,2619969241702,000000110000001100000000,39060,39026,0,0,0,0,32740,32740,20,11,614,598,610,3307,1662,18060,9830,34880,32844,57116889587968669784519761100537856,34675,0,0,0,0,1111111111
