nan,nan,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
7349745,24499,141134923835054,67959362161948,32792,8511,2611379176038,000000110000001100000011,39084,38924,0,0,0,0,32723,32723,25,25,614,596,608,3356,1444,15823,9902,35072,32860,129809441727716775377536728396988416,57930,0,7348901,1231,341,1111111111
7350045,24500,140619522320074,64012298882282,32791,6026,2628559307370,000000110000001100000011,39318,39126,0,0,0,0,32723,32723,25,25,618,600,612,3306,1622,14904,9930,34989,32740,129809441727716775377536728396988416,57930,0,7348901,1231,341,1111111111
7350345,24501,141044715759298,65859134753949,32790,9040,2654329504366,000000110000001100000011,39580,39380,0,0,0,0,32723,32723,25,25,622,606,618,3229,1621,15334,9922,34862,32839,129809441727716775377536728396988416,57930,0,7350102,1232,341,1111111111
7350645,24502,141104853689811,74444770905299,32792,8362,2671509635700,000000110000001100000011,39728,39649,0,0,0,0,32723,32723,25,25,628,610,622,3283,1568,17333,9683,34990,32853,129809441727716775377536728396988416,57930,0,7350102,1232,341,1111111111
7350945,24503,140688232228558,73903607843976,32790,7214,2688689898104,000000110000001100000011,39810,39869,0,0,0,0,32723,32723,25,25,632,616,626,3208,1611,17207,9934,34843,32756,129809441727716775377536728396988416,57930,0,7350102,1232,341,1111111111
7351245,24504,140245858264779,71863485140293,32789,8397,2697279963770,000000110000001100000011,39866,39990,0,0,0,0,32723,32723,25,25,634,618,628,3397,1409,16732,9931,34960,32653,129809441727716775377536728396988416,57930,0,7350102,1232,341,1111111111
7351545,24505,141229419472458,64811159325872,32792,8653,2697279963770,000000110000001100000011,39936,39999,0,0,0,0,32723,32723,25,25,634,618,628,3248,1569,15090,9802,35169,32882,129809441727716775377536728396988416,57930,0,7351422,1233,341,1111111111
7351845,24506,141126342616778,61091716140216,32792,9246,2697279832698,000000110000001100000011,39899,39894,0,0,0,0,32723,32723,25,25,634,616,628,3256,1546,14224,9930,35205,32858,129809441727716775377536728396988416,57930,0,7351422,1233,341,1111111111
7352146,24507,140877225666261,68723876564274,32792,7159,2680099832438,000000110000001100000011,39731,39702,0,0,0,0,32723,32723,25,25,630,614,624,3378,1600,16001,9941,35070,32800,129809441727716775377536728396988416,57930,0,7351422,1233,341,1111111111
7352446,24508,141091977504468,64574926163205,32791,5804,2662919570032,000000110000001100000011,39479,39462,0,0,0,0,32723,32723,25,25,624,608,620,3333,1417,15035,9940,35123,32850,129809441727716775377536728396988416,57930,0,7351422,1233,341,1111111111
7352746,24509,141229417440874,75582938484025,32791,6392,2637149373036,000000110000001100000011,39228,39210,0,0,0,0,32723,32723,25,25,620,602,614,3385,1587,17598,9834,35138,32882,129809441727716775377536728396988416,57930,0,7352682,1234,341,1111111111
7353046,24510,140752673384133,67358075456923,32791,5664,2611379176038,000000110000001100000011,38945,38931,0,0,0,0,32723,32723,25,25,614,596,608,3483,1577,15683,9925,35097,32771,129809441727716775377536728396988416,57930,0,7352682,1234,341,1111111111
7353345,24511,140915879978689,74887142510068,32790,9074,2585608979040,000000110000001100000011,38682,38651,0,0,0,0,32723,32723,25,25,608,590,602,3572,1415,17436,9921,35064,32809,129809441727716775377536728396988416,57930,0,7352682,1234,341,1111111111
7353645,24512,141246598751859,68036681010456,32791,7426,2568428847706,000000110000001100000011,38551,38464,0,0,0,0,32723,32723,25,25,602,586,598,3352,1588,15841,9843,35160,32886,129809441727716775377536728396988416,57930,0,7352682,1234,341,1111111111
7353945,24513,141087666415217,71936502009366,32791,9104,2559838913114,000000110000001100000011,38456,38482,0,0,0,0,32723,32723,25,25,602,586,596,3606,1446,16749,9841,34877,32849,129809441727716775377536728396988416,57930,0,7352682,1234,341,1111111111
7354245,24514,141272370128442,71077514448448,32790,7996,2568428978780,000000110000001100000011,38471,38546,0,0,0,0,32723,32723,25,25,604,588,598,3648,1536,16549,9786,35184,32892,129809441727716775377536728396988416,57930,0,7353989,1235,341,1111111111
7354545,24515,140675365938887,65725988932967,32792,5957,2577019044446,000000110000001100000011,38640,38590,0,0,0,0,32723,32723,25,25,606,590,600,3431,1593,15303,9927,35127,32753,129809441727716775377536728396988416,57930,0,7353989,1235,341,1111111111
7354845,24516,141242283337427,77524260097498,32791,9140,2594199175778,000000110000001100000011,38917,38753,0,0,0,0,32723,32723,25,25,610,594,604,3546,1532,18050,9939,34848,32885,129809441727716775377536728396988416,57930,0,7353989,1235,341,1111111111
7355145,24517,141160700454486,64416022138206,32790,8484,2619969241702,000000110000001100000011,39195,38997,0,0,0,0,32723,32723,25,25,614,598,610,3422,1566,14998,9814,35176,32866,129809441727716775377536728396988416,57930,0,7353989,1235,341,1111111111
7355445,24518,140911587829465,59661485870482,32791,9177,2637149504108,000000110000001100000011,39404,39224,0,0,0,0,32723,32723,25,25,620,604,614,3474,1452,13891,9945,35107,32808,129809441727716775377536728396988416,57930,0,7355291,1236,341,1111111111
7355745,24519,140808498390715,63999413587172,32790,8820,2654329635440,000000110000001100000011,39578,39407,0,0,0,0,32723,32723,25,25,624,608,618,3300,1616,14901,9915,34951,32784,129809441727716775377536728396988416,57930,0,7355291,1236,341,1111111111
7356045,24520,141143519274626,66469010935065,32792,6482,2671509766772,000000110000001100000011,39837,39654,0,0,0,0,32723,32723,25,25,628,612,622,3353,1481,15476,9858,35156,32862,129809441727716775377536728396988416,57930,0,7355291,1236,341,1111111111
7356345,24521,140924469978845,62320081571154,32788,6825,2697279832696,000000110000001100000011,39989,39895,0,0,0,0,32723,32723,25,25,632,616,628,3410,1619,14510,9949,35065,32811,129809441727716775377536728396988416,57930,0,7355291,1236,341,1111111111
7356645,24522,141263758042839,66563506310386,32790,8151,2714459964028,000000110000001100000011,40044,40113,0,0,0,0,32723,32723,25,25,636,620,632,3314,1574,15498,9943,34846,32890,129809441727716775377536728396988416,57930,0,7356492,1237,341,1111111111
7356945,24523,141220812498611,66885627808919,32791,7977,2714460095104,000000110000001100000011,40098,40212,0,0,0,0,32723,32723,25,25,640,622,632,3223,1558,15573,9907,34909,32880,129809441727716775377536728396988416,57930,0,7356492,1237,341,1111111111
7357245,24524,141272360691408,63582800842016,32791,7124,2723050029696,000000110000001100000011,40122,40188,0,0,0,0,32723,32723,25,25,640,622,634,3360,1602,14804,9936,35040,32892,129809441727716775377536728396988416,57930,0,7356492,1237,341,1111111111
7357545,24525,140602356803198,72868517645533,32791,5501,2714459964030,000000110000001100000011,40064,40047,0,0,0,0,32723,32723,25,25,638,620,632,3293,1564,16966,9854,35208,32736,129809441727716775377536728396988416,57930,0,7356492,1237,341,1111111111
7357845,24526,141195037386433,68612205317319,32791,6457,2697279832696,000000110000001100000011,39878,39868,0,0,0,0,32723,32723,25,25,632,616,628,3271,1568,15975,9921,34828,32874,129809441727716775377536728396988416,57930,0,7357751,1238,341,1111111111
7358145,24527,140774151235284,67173393829074,32789,8516,2680099701364,000000110000001100000011,39649,39639,0,0,0,0,32723,32723,25,25,628,612,624,3282,1607,15640,9940,35143,32776,129809441727716775377536728396988416,57930,0,7357751,1238,341,1111111111
7358445,24528,141302432015859,76691040505073,32790,8804,2654329504366,000000110000001100000011,39380,39365,0,0,0,0,32723,32723,25,25,622,606,618,3313,1594,17856,9715,35140,32899,129809441727716775377536728396988416,57930,0,7357751,1238,341,1111111111
7358745,24529,141203645343306,72842750463300,32791,5912,2619969372776,000000110000001100000011,39090,39079,0,0,0,0,32723,32723,25,25,616,600,610,3396,1604,16960,9802,35103,32876,129809441727716775377536728396988416,57930,0,7357751,1238,341,1111111111
